(5000, 64)
num_iter = 1, r=1, k=1, acc=0.28578
num_iter = 1, r=1, k=2, acc=0.31111
num_iter = 1, r=1, k=3, acc=0.33311
num_iter = 1, r=1, k=4, acc=0.34556
num_iter = 1, r=1, k=5, acc=0.35000
num_iter = 1, r=2, k=1, acc=0.31622
num_iter = 1, r=2, k=2, acc=0.38378
num_iter = 1, r=2, k=3, acc=0.42467
num_iter = 1, r=2, k=4, acc=0.42489
num_iter = 1, r=2, k=5, acc=0.42022
num_iter = 1, r=3, k=1, acc=0.34178
num_iter = 1, r=3, k=2, acc=0.43600
num_iter = 1, r=3, k=3, acc=0.45933
num_iter = 1, r=3, k=4, acc=0.45022
num_iter = 1, r=3, k=5, acc=0.44667
num_iter = 1, r=4, k=1, acc=0.36622
num_iter = 1, r=4, k=2, acc=0.47467
num_iter = 1, r=4, k=3, acc=0.47444
num_iter = 1, r=4, k=4, acc=0.45800
num_iter = 1, r=4, k=5, acc=0.44222
num_iter = 1, r=5, k=1, acc=0.38533
num_iter = 1, r=5, k=2, acc=0.48667
num_iter = 1, r=5, k=3, acc=0.47822
num_iter = 1, r=5, k=4, acc=0.45800
num_iter = 1, r=5, k=5, acc=0.44222
num_iter = 2, r=1, k=1, acc=0.31111
num_iter = 2, r=1, k=2, acc=0.34600
num_iter = 2, r=1, k=3, acc=0.35378
num_iter = 2, r=1, k=4, acc=0.34644
num_iter = 2, r=1, k=5, acc=0.34356
num_iter = 2, r=2, k=1, acc=0.38600
num_iter = 2, r=2, k=2, acc=0.43200
num_iter = 2, r=2, k=3, acc=0.42533
num_iter = 2, r=2, k=4, acc=0.41156
num_iter = 2, r=2, k=5, acc=0.39889
num_iter = 2, r=3, k=1, acc=0.43978
num_iter = 2, r=3, k=2, acc=0.46400
num_iter = 2, r=3, k=3, acc=0.45467
num_iter = 2, r=3, k=4, acc=0.44156
num_iter = 2, r=3, k=5, acc=0.43600
num_iter = 2, r=4, k=1, acc=0.48711
num_iter = 2, r=4, k=2, acc=0.47533
num_iter = 2, r=4, k=3, acc=0.44467
num_iter = 2, r=4, k=4, acc=0.43000
num_iter = 2, r=4, k=5, acc=0.41289
num_iter = 2, r=5, k=1, acc=0.50533
num_iter = 2, r=5, k=2, acc=0.47644
num_iter = 2, r=5, k=3, acc=0.44489
num_iter = 2, r=5, k=4, acc=0.42644
num_iter = 2, r=5, k=5, acc=0.41400
num_iter = 5, r=1, k=1, acc=0.35356
num_iter = 5, r=1, k=2, acc=0.34444
num_iter = 5, r=1, k=3, acc=0.34244
num_iter = 5, r=1, k=4, acc=0.34156
num_iter = 5, r=1, k=5, acc=0.34156
num_iter = 5, r=2, k=1, acc=0.43933
num_iter = 5, r=2, k=2, acc=0.42289
num_iter = 5, r=2, k=3, acc=0.41489
num_iter = 5, r=2, k=4, acc=0.40111
num_iter = 5, r=2, k=5, acc=0.39156
num_iter = 5, r=3, k=1, acc=0.47822
num_iter = 5, r=3, k=2, acc=0.46200
