Alpha,Sigma,Time,Acc,Matrix
0.3,0.2,18.606706857681274,0.5973333333333334,Normalized
0.2,0.2,18.615604162216187,0.5946666666666667,Normalized
0.4,0.2,18.610594987869263,0.5944444444444444,Normalized
0.5,0.2,18.59381341934204,0.5942222222222222,Normalized
0.1,0.2,18.59130859375,0.5935555555555555,Normalized
0.6,0.2,18.622095108032227,0.5915555555555555,Normalized
0.7,0.2,18.55620813369751,0.5842222222222222,Normalized
0.1,0.3,18.53283143043518,0.5804444444444444,Normalized
0.2,0.3,18.534014463424683,0.5768888888888889,Normalized
0.3,0.3,18.5418438911438,0.5724444444444444,Normalized
0.8,0.2,18.575661659240723,0.5691111111111111,Normalized
0.4,0.3,18.531670093536377,0.566,Normalized
0.9,0.1,18.295463800430298,0.556,Normalized
0.8,0.1,18.287473440170288,0.5535555555555556,Normalized
0.6,0.1,18.287885665893555,0.5535555555555556,Normalized
0.5,0.3,18.5072078704834,0.5535555555555556,Normalized
0.1,0.4,18.605249404907227,0.5522222222222222,Normalized
0.7,0.1,18.32008147239685,0.5513333333333333,Normalized
0.5,0.1,18.306387424468994,0.5508888888888889,Normalized
0.4,0.1,18.28525161743164,0.5473333333333333,Normalized
0.8,0.08,18.573206186294556,0.546,Normalized
0.3,0.1,18.36633610725403,0.5457777777777778,Normalized
0.9,0.08,18.588767528533936,0.5455555555555556,Normalized
0.2,0.1,18.28327965736389,0.5442222222222223,Normalized
0.1,0.1,18.31805109977722,0.5433333333333333,Normalized
0.001,0.1,18.32108426094055,0.5433333333333333,Normalized
0.2,0.4,18.598410606384277,0.5428888888888889,Normalized
0.7,0.08,18.607407569885254,0.5415555555555556,Normalized
0.6,0.3,18.53647017478943,0.5415555555555556,Normalized
0.01,0.1,18.288301706314087,0.5415555555555556,Normalized
0.6,0.08,18.597419261932373,0.5386666666666666,Normalized
0.5,0.08,18.633285760879517,0.5386666666666666,Normalized
0.3,0.08,18.539990186691284,0.5386666666666666,Normalized
0.2,0.08,18.591670036315918,0.5375555555555556,Normalized
0.4,0.08,18.59553289413452,0.5371111111111111,Normalized
0.1,0.08,18.62582278251648,0.5366666666666666,Normalized
0.9,0.2,18.589747190475464,0.5348888888888889,Normalized
0.3,0.4,18.586103439331055,0.5306666666666666,Normalized
0.99,0.1,18.2831609249115,0.5257777777777778,Normalized
